Date	Open	High	Low	Close
2010-01-29	236.59	236.59	236.59	236.59
2010-02-26	239.33	239.33	239.33	239.33
2010-03-31	256.49	256.49	256.49	256.49
2010-04-30	244.83	244.83	244.83	244.83
2010-05-31	228.16	228.16	228.16	228.16
2010-06-30	230.33	230.33	230.33	230.33
2010-07-30	246.08	246.08	246.08	246.08
2010-08-31	248.27	248.27	248.27	248.27
2010-09-30	271.23	271.23	271.23	271.23
2010-10-29	279.04	279.04	279.04	279.04
2010-11-30	257.28	257.28	257.28	257.28
2010-12-31	275.31	275.31	275.31	275.31
2011-01-31	276.17	276.17	276.17	276.17
2011-02-28	284.06	284.06	284.06	284.06
2011-03-31	286.88	286.88	286.88	286.88
2011-04-29	293.15	293.15	293.15	293.15
2011-05-31	301.7	301.7	301.7	301.7
2011-06-30	294.75	294.75	294.75	294.75
2011-07-29	280.96	280.96	280.96	280.96
2011-08-31	259.25	259.25	259.25	259.25
2011-09-30	234.03	234.03	234.03	234.03
2011-10-31	247.09	247.09	247.09	247.09
2011-11-30	230.46	230.46	230.46	230.46
2011-12-30	232.59	232.59	232.59	232.59
2012-01-31	242.99	242.99	242.99	242.99
2012-02-29	244.57	244.57	244.57	244.57
2012-03-30	259.85	259.85	259.85	259.85
2012-04-30	251.6	251.6	251.6	251.6
2012-05-31	251.04	251.04	251.04	251.04
2012-06-29	258.61	258.61	258.61	258.61
2012-07-17	268.23	268.23	268.23	268.23
2012-07-18	269.69	269.69	269.69	269.69
2012-07-19	271.07	271.07	271.07	271.07
2012-07-20	267.54	267.54	267.54	267.54
2012-07-23	260.87	260.87	260.87	260.87
2012-07-24	262.14	262.14	262.14	262.14
2012-07-25	264.69	264.69	264.69	264.69
2012-07-26	270.21	270.21	270.21	270.21
2012-07-30	272.14	272.14	272.14	272.14
2012-07-31	270.42	270.42	270.42	270.42
2012-08-01	271.16	271.16	271.16	271.16
2012-08-02	269.94	269.94	269.94	269.94
2012-08-03	274.41	274.41	274.41	274.41
2012-08-06	274.85	274.85	274.85	274.85
2012-08-07	274.48	274.48	274.48	274.48
2012-08-08	272.52	272.52	272.52	272.52
2012-08-09	271.55	271.55	271.55	271.55
2012-08-10	271.41	271.41	271.41	271.41
2012-08-13	271.65	271.65	271.65	271.65
2012-08-14	271.85	271.85	271.85	271.85
2012-08-16	272.74	272.74	272.74	272.74
2012-08-17	273.74	273.74	273.74	273.74
2012-08-20	272.57	272.57	272.57	272.57
