Date	Open	High	Low	Close
2001-05-17	127.5	127.5	126.5	127.3
2001-05-18	127.6	128.5	127.6	127.9
2001-05-21	128.6	129.3	128.1	128.1
2001-05-22	129.5	130.3	129.2	129.8
2001-05-23	130.7	131.4	129.3	129.3
2001-05-24	130.1	130.1	129.3	129.3
2001-05-25	129.4	130.2	128.9	128.9
2001-05-29	129.0	129.5	128.8	129.1
2001-05-30	128.9	129.3	127.5	127.5
2001-05-31	127.8	129.2	127.8	128.5
2001-06-01	128.9	129.6	128.0	129.0
2001-06-05	130.8	131.0	130.5	130.9
2001-06-06	131.0	131.2	130.7	130.7
2001-06-07	130.7	131.4	130.0	130.0
2001-06-08	131.1	131.5	130.0	130.0
2001-06-11	129.7	129.8	127.0	129.4
2001-06-12	129.6	129.6	127.2	127.5
2001-06-13	128.5	129.2	128.0	129.2
2001-06-14	128.0	128.2	124.7	124.8
2001-06-15	124.5	124.6	123.0	123.7
2001-06-18	123.7	124.4	123.7	123.7
2001-06-19	124.8	125.8	124.4	124.4
2001-06-20	124.2	125.9	124.2	125.9
2001-06-21	126.0	126.0	124.8	125.3
2001-06-22	125.6	125.9	124.6	124.6
2001-06-25	124.0	124.1	123.4	123.5
2001-06-26	123.2	123.5	121.0	121.0
2001-06-27	121.4	122.5	121.4	122.4
2001-06-28	122.0	125.9	122.0	125.9
2001-06-29	125.2	125.4	124.6	124.6
2001-07-02	124.9	125.7	123.7	125.6
2001-07-03	125.2	125.3	124.7	124.7
2001-07-05	125.7	126.3	125.3	125.8
2001-07-06	125.8	125.8	122.0	122.0
2001-07-09	121.0	122.1	120.9	121.1
2001-07-10	121.0	121.2	120.0	120.3
2001-07-11	118.7	118.7	117.7	118.2
2001-07-12	121.0	122.2	121.0	122.1
2001-07-13	123.2	123.5	122.8	123.5
2001-07-16	123.3	123.7	122.8	123.7
2001-07-17	123.3	124.4	123.2	123.3
2001-07-18	123.6	123.6	120.6	121.4
2001-07-19	121.2	123.2	120.8	122.9
