Date	Open	High	Low	Close
2010-01-29	8.92	8.92	8.92	8.92
2010-02-26	9.36	9.36	9.36	9.36
2010-03-31	10.02	10.02	10.02	10.02
2010-04-30	10.22	10.22	10.22	10.22
2010-05-28	9.44	9.44	9.44	9.44
2010-06-30	9.19	9.19	9.19	9.19
2010-07-30	9.94	9.94	9.94	9.94
2010-08-31	9.84	9.84	9.84	9.84
2010-09-30	10.56	10.56	10.56	10.56
2010-10-29	10.92	10.92	10.92	10.92
2010-11-30	10.52	10.52	10.52	10.52
2010-12-31	11.04	11.04	11.04	11.04
2011-01-31	11.03	11.03	11.03	11.03
2011-02-28	11.34	11.34	11.34	11.34
2011-03-31	11.27	11.27	11.27	11.27
2011-04-29	11.69	11.69	11.69	11.69
2011-05-31	11.58	11.58	11.58	11.58
2011-06-30	11.14	11.14	11.14	11.14
2011-07-29	11.03	11.03	11.03	11.03
2011-08-31	10.1	10.1	10.1	10.1
2011-09-30	8.74	8.74	8.74	8.74
2011-10-31	9.7	9.7	9.7	9.7
2011-11-30	9.34	9.34	9.34	9.34
2011-12-30	9.15	9.15	9.15	9.15
2012-01-31	10.12	10.12	10.12	10.12
2012-02-29	10.52	10.52	10.52	10.52
2012-03-30	10.69	10.69	10.69	10.69
2012-04-30	10.81	10.81	10.81	10.81
2012-05-31	10.08	10.08	10.08	10.08
2012-06-29	10.64	10.64	10.64	10.64
2012-07-17	10.85	10.85	10.85	10.85
2012-07-18	10.83	10.83	10.83	10.83
2012-07-19	10.83	10.83	10.83	10.83
2012-07-20	10.78	10.78	10.78	10.78
2012-07-23	10.61	10.61	10.61	10.61
2012-07-24	10.57	10.57	10.57	10.57
2012-07-25	10.62	10.62	10.62	10.62
2012-07-26	10.67	10.67	10.67	10.67
2012-07-27	10.93	10.93	10.93	10.93
2012-07-30	10.96	10.96	10.96	10.96
2012-07-31	10.93	10.93	10.93	10.93
2012-08-01	10.9	10.9	10.9	10.9
2012-08-02	10.88	10.88	10.88	10.88
2012-08-03	11.05	11.05	11.05	11.05
2012-08-06	11.08	11.08	11.08	11.08
2012-08-07	11.02	11.02	11.02	11.02
2012-08-08	10.99	10.99	10.99	10.99
2012-08-09	10.98	10.98	10.98	10.98
2012-08-10	10.99	10.99	10.99	10.99
2012-08-13	10.97	10.97	10.97	10.97
2012-08-14	10.94	10.94	10.94	10.94
2012-08-15	10.96	10.96	10.96	10.96
2012-08-16	11.04	11.04	11.04	11.04
2012-08-17	11.06	11.06	11.06	11.06
2012-08-20	11.04	11.04	11.04	11.04
2012-08-21	11.06	11.06	11.06	11.06
2012-08-22	11.09	11.09	11.09	11.09
2012-08-23	11.07	11.07	11.07	11.07
2012-08-24	11.09	11.09	11.09	11.09
