Date	Open	High	Low	Close
2010-06-10	8.85	8.92	8.85	8.92
2010-06-11	8.96	8.98	8.9	8.98
2010-06-14	9.01	9.02	8.96	9.02
2010-06-15	8.98	8.99	8.93	8.95
2010-06-16	8.99	9.05	8.99	9.04
2010-06-17	9.08	9.08	8.97	8.99
2010-06-18	9.03	9.05	9.03	9.05
2010-06-21	9.23	9.27	9.11	9.12
2010-06-22	9.18	9.18	9.04	9.06
2010-06-23	9.1	9.18	8.93	8.95
2010-06-24	9.03	9.03	8.8	8.8
2010-06-25	8.81	8.81	8.68	8.68
2010-06-28	8.74	8.79	8.73	8.74
2010-06-29	8.8	8.8	8.59	8.62
2010-06-30	8.62	8.62	8.5	8.5
2010-07-01	8.56	8.56	8.0	8.18
2010-07-02	8.22	8.23	8.13	8.13
2010-07-05	8.2	8.2	8.15	8.15
2010-07-06	8.16	8.26	8.16	8.22
2010-07-07	8.19	8.28	8.14	8.28
2010-07-08	8.4	8.45	8.38	8.42
2010-07-09	8.44	8.5	8.43	8.49
2010-07-12	8.53	8.57	8.53	8.57
2010-07-13	8.61	8.69	8.61	8.64
2010-07-14	8.69	8.69	8.63	8.63
2010-07-15	8.6	8.6	8.44	8.44
2010-07-16	8.5	8.5	8.32	8.33
2010-07-19	8.26	8.29	8.22	8.24
2010-07-20	8.24	8.29	8.21	8.29
2010-07-22	8.4	8.5	8.4	8.5
2010-07-23	8.49	8.54	8.49	8.54
2010-07-26	8.6	8.6	8.54	8.58
2010-07-27	8.59	8.62	8.58	8.58
2010-07-28	8.6	8.61	8.52	8.56
2010-07-29	8.55	8.62	8.47	8.47
2010-07-30	8.42	8.46	8.41	8.46
2010-08-02	8.5	8.544	8.5	8.54
2010-08-04	8.478	8.573	8.478	8.573
2010-08-05	8.596	8.596	8.517	8.517
2010-08-06	8.565	8.579	8.35	8.367
2010-08-09	8.48	8.54	8.48	8.528
2010-08-10	8.54	8.553	8.54	8.553
2010-08-11	8.489	8.514	8.489	8.497
2010-08-12	8.403	8.492	8.403	8.457
2010-08-13	8.475	8.485	8.436	8.484
2010-08-16	8.465	8.465	8.38	8.426
2010-08-17	8.451	8.531	8.451	8.531
2010-08-18	8.517	8.517	8.482	8.507
2010-08-19	8.557	8.557	8.386	8.386
2010-08-20	8.42	8.445	8.4	8.439
2010-08-24	8.432	8.432	8.323	8.359
2010-08-25	8.34	8.35	8.24	8.311
2010-08-26	8.329	8.34	8.329	8.334
2010-08-27	8.293	8.328	8.25	8.328
2010-08-30	8.423	8.423	8.377	8.377
2010-08-31	8.265	8.313	8.24	8.313
2010-09-01	8.336	8.454	8.3	8.454
2010-09-02	8.461	8.49	8.461	8.485
2010-09-03	8.527	8.59	8.52	8.562
2010-09-07	8.628	8.645	8.609	8.645
2010-09-08	8.618	8.675	8.613	8.672
2010-09-09	8.69	8.754	8.687	8.754
2010-09-10	8.731	8.74	8.728	8.736
2010-09-14	8.747	8.747	8.694	8.694
2010-09-15	8.67	8.67	8.649	8.649
2010-09-16	8.67	8.67	8.61	8.61
2010-09-17	8.672	8.672	8.667	8.667
2010-09-20	8.654	8.741	8.642	8.741
2010-09-21	8.748	8.748	8.722	8.722
2010-09-22	8.625	8.625	8.508	8.508
2010-09-23	8.541	8.548	8.49	8.548
2010-09-24	8.505	8.54	8.49	8.535
2010-09-27	8.566	8.58	8.53	8.53
2010-09-28	8.544	8.544	8.45	8.474
2010-09-29	8.464	8.479	8.438	8.438
2010-09-30	8.448	8.448	8.42	8.434
2010-10-01	8.414	8.414	8.341	8.341
2010-10-04	8.365	8.401	8.34	8.34
2010-10-05	8.352	8.387	8.33	8.387
2010-10-06	8.418	8.427	8.386	8.386
2010-10-07	8.342	8.359	8.33	8.359
2010-10-08	8.364	8.402	8.3	8.402
2010-10-11	8.392	8.44	8.392	8.44
2010-10-12	8.415	8.454	8.415	8.454
2010-10-13	8.426	8.489	8.426	8.489
2010-10-14	8.441	8.441	8.395	8.395
2010-10-15	8.406	8.419	8.382	8.419
2010-10-18	8.48	8.491	8.48	8.483
2010-10-19	8.504	8.552	8.504	8.552
2010-10-20	8.519	8.519	8.472	8.487
2010-10-21	8.486	8.521	8.47	8.521
2010-10-22	8.52	8.534	8.516	8.534
2010-10-25	8.522	8.557	8.522	8.557
2010-10-26	8.54	8.591	8.54	8.591
2010-10-27	8.6	8.6	8.56	8.56
2010-10-28	8.599	8.618	8.533	8.533
2010-10-29	8.549	8.55	8.538	8.538
2010-11-01	8.571	8.605	8.565	8.605
2010-11-02	8.567	8.567	8.541	8.542
2010-11-03	8.565	8.567	8.539	8.539
2010-11-04	8.54	8.596	8.532	8.596
2010-11-05	8.644	8.75	8.632	8.749
2010-11-08	8.807	8.832	8.807	8.825
2010-11-09	8.85	8.859	8.833	8.859
2010-11-10	8.862	8.879	8.858	8.876
2010-11-11	8.854	8.895	8.85	8.895
2010-11-12	8.866	8.866	8.818	8.818
2010-11-15	8.827	8.899	8.827	8.899
2010-11-16	8.832	8.832	8.775	8.778
2010-11-17	8.791	8.795	8.78	8.785
2010-11-18	8.802	8.867	8.787	8.867
2010-11-19	8.821	8.821	8.787	8.819
2010-11-22	8.831	8.832	8.809	8.819
2010-11-23	8.813	8.87	8.813	8.85
2010-11-24	8.884	8.996	8.884	8.996
2010-11-25	9.021	9.05	9.021	9.042
2010-11-26	9.059	9.059	9.029	9.056
2010-11-29	9.04	9.06	9.04	9.049
2010-11-30	9.107	9.149	9.088	9.11
2010-12-01	9.141	9.25	9.141	9.25
2010-12-02	9.242	9.276	9.229	9.264
2010-12-03	9.305	9.311	9.159	9.159
2010-12-06	9.213	9.265	9.213	9.264
2010-12-07	9.247	9.285	9.247	9.283
2010-12-09	9.349	9.393	9.349	9.377
2010-12-10	9.378	9.4	9.378	9.398
2010-12-13	9.46	9.46	9.356	9.356
2010-12-14	9.307	9.366	9.294	9.365
2010-12-15	9.355	9.379	9.33	9.379
2010-12-16	9.412	9.465	9.4	9.465
